Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8
117,8.51,5.98,8.34,4.4,5.86,1.74,4.84,0.33
118,6.01,7.92,8.08,1.74,1.11,4.18,9.02,1.94
119,8.09,3.5,7.76,5.76,3.95,0.41,9.44,1.09
120,1.73,5.71,7.7,9.59,1.01,3.1,0.67,10.49
121,8.74,4.99,4.69,7.31,4.62,0.4,8.1,1.15
122,1.24,10.91,7.11,4.73,6.07,0.4,7.02,2.52
123,4.98,8.98,1.34,7.71,5.17,7.34,1.02,3.46
124,8.21,8.69,3.07,6.48,4.75,4.99,2.11,1.7
125,5.5,5.25,6.02,5.03,0.48,2.51,1.82,13.39
126,6.01,4.38,1.38,8.47,2.33,8.8,1.61,7.02
127,8.96,2.85,5.09,4.37,7.58,1.25,9.77,0.13
128,8.83,6.47,5.28,1.76,3.55,2.16,0.87,11.08
129,5.75,4.8,7.28,3.42,2.1,9.95,6.03,0.67
130,6.87,4.35,3.23,0.86,6.59,0.93,13.24,3.93
131,1.82,4.15,6.22,7.58,3.61,1.23,3.45,11.94
132,9.28,4.28,3.19,5.7,8.45,3.08,1.77,4.25
133,0.75,1.62,3.95,2.18,10.04,2.41,17.05,2.0
134,2.23,8.13,8.05,3.89,9.25,4.77,2.32,1.36
135,11.21,2.39,6.49,2.84,1.37,2.51,2.95,10.24
136,6.8,3.22,5.43,6.2,6.41,2.69,8.27,0.98
137,4.93,1.49,14.11,5.82,3.14,3.52,3.11,3.88
138,7.82,2.02,8.51,7.86,2.44,4.84,4.66,1.85
139,11.44,2.47,7.34,3.34,2.6,6.45,2.61,3.75
140,9.54,0.38,8.57,7.26,1.93,2.92,3.66,5.74
141,2.07,8.16,2.05,7.76,1.5,3.32,13.37,1.77
142,3.88,7.84,7.15,5.95,0.76,9.88,2.25,2.29
143,8.81,1.56,1.15,7.01,5.6,4.97,5.76,5.14
144,4.32,3.39,6.49,3.24,10.41,4.51,2.15,5.49
145,10.39,1.73,2.54,3.55,1.25,3.82,4.63,12.09
146,1.31,3.56,10.13,3.84,7.88,7.69,4.72,0.87
147,5.9,3.05,4.15,10.43,2.81,6.87,3.31,3.48
148,2.41,5.14,3.82,7.36,7.51,5.92,2.05,5.79
149,1.36,8.63,6.95,2.48,6.65,2.23,5.91,5.79
150,3.16,10.07,8.51,5.8,0.72,1.82,4.8,5.12
151,6.33,8.71,4.27,5.54,3.61,6.68,0.31,4.55
152,3.91,7.0,4.91,8.53,6.91,1.98,1.27,5.49
153,0.99,4.24,12.09,7.47,5.08,2.76,2.74,4.63
154,7.68,8.5,3.62,7.82,5.88,0.66,5.08,0.76
155,3.5,1.42,11.47,3.51,3.91,6.34,4.28,5.57
156,5.49,3.11,7.55,6.89,6.64,0.64,1.66,8.02
157,6.13,8.54,2.67,2.5,2.85,6.57,7.91,2.83
158,9.84,13.16,5.17,3.16,0.69,4.92,1.9,1.16
159,7.99,9.93,2.15,1.96,3.76,5.51,7.29,1.41
160,10.0,7.49,5.04,4.91,3.08,1.57,3.83,4.08
161,6.65,4.64,4.15,5.08,1.35,8.63,0.7,8.8
162,6.16,0.39,6.89,3.41,5.04,4.51,12.25,1.35
163,2.63,6.62,6.92,6.13,4.65,4.65,3.2,5.2
164,2.84,3.4,2.96,11.26,5.83,5.33,5.0,3.38
165,8.33,4.52,4.26,7.99,1.9,4.59,6.74,1.67
166,7.63,10.84,2.86,7.2,1.64,2.41,2.09,5.33
167,6.59,5.04,4.93,8.88,1.09,5.24,3.61,4.62
168,4.81,8.13,7.76,3.07,5.48,4.56,3.32,2.87
169,6.5,9.96,2.22,4.13,1.33,10.82,1.43,3.61
170,4.17,5.49,7.93,2.11,8.74,3.03,4.39,4.14
171,11.68,1.38,1.05,4.34,4.59,5.95,0.6,10.41
172,1.71,5.82,8.33,6.57,5.6,2.24,0.47,9.26
173,5.91,2.84,5.3,2.87,3.79,1.4,10.81,7.08
174,3.41,1.61,7.31,2.59,12.6,4.8,7.07,0.61
175,6.6,12.36,2.28,2.02,7.44,3.24,2.51,3.55
176,7.89,3.07,6.29,8.01,3.01,4.31,0.61,6.81
177,5.49,6.41,7.12,2.17,5.99,7.9,0.59,4.33
178,8.2,6.31,1.97,0.99,5.14,8.5,4.26,4.63
179,8.54,4.05,4.52,6.64,4.82,4.1,0.65,6.68
180,6.21,1.57,8.14,0.85,9.56,4.35,3.19,6.13
181,2.55,5.8,8.29,8.55,1.97,3.66,4.66,4.52
182,5.04,6.98,1.12,5.01,7.93,7.85,3.31,2.76
183,2.34,1.81,6.85,0.79,10.68,2.42,2.06,13.05
184,6.71,1.81,6.74,5.51,2.71,4.34,0.61,11.57
185,11.35,3.35,2.46,2.4,3.48,2.12,2.4,12.44
186,4.15,6.03,8.59,5.77,0.38,4.14,4.08,6.86
187,2.49,3.4,5.55,6.14,6.21,6.15,7.75,2.31
188,1.45,7.77,6.8,7.26,4.5,1.75,10.31,0.16
189,4.96,3.95,7.68,6.6,0.31,4.57,11.04,0.89
190,13.79,4.63,1.52,1.29,7.06,6.76,1.35,3.6
191,0.82,0.82,0.92,3.55,13.0,7.64,9.79,3.46
192,7.91,4.57,7.99,4.06,7.81,1.78,3.64,2.24
193,6.21,14.47,1.93,2.91,1.08,7.49,4.67,1.24
194,8.12,1.7,3.94,6.83,1.66,4.23,12.77,0.75
195,3.93,1.68,8.91,7.62,8.23,2.39,1.31,5.93
196,2.13,5.22,6.75,3.16,2.58,7.38,5.49,7.29
197,4.66,9.65,4.47,6.62,1.33,3.95,1.76,7.56
198,9.47,5.08,4.63,1.83,5.9,2.73,10.29,0.07
199,9.67,2.5,4.48,1.27,7.15,2.4,10.68,1.85
200,3.75,11.59,1.69,5.14,0.48,1.51,13.0,2.84
201,2.42,4.05,9.17,7.31,1.92,8.85,0.8,5.48
202,6.73,3.18,7.46,5.81,0.97,10.42,4.41,1.02
203,1.79,8.31,7.37,3.87,6.48,6.35,3.91,1.92
204,6.08,3.66,2.6,6.14,7.23,0.58,5.8,7.91
205,8.83,3.47,3.42,8.68,4.89,4.7,3.27,2.74
206,3.84,2.13,2.36,4.41,4.74,1.59,5.71,15.22
207,12.08,6.22,4.47,2.1,6.05,0.55,5.72,2.81
208,2.12,7.6,4.57,2.23,7.33,4.91,9.73,1.51
209,5.58,0.49,7.1,4.04,0.64,6.05,13.14,2.96
210,4.01,9.81,3.59,5.38,1.85,2.5,1.87,10.99
211,2.09,4.87,6.98,7.86,1.7,7.65,2.5,6.35
212,8.38,1.4,7.89,5.15,3.84,3.76,4.98,4.6
213,4.22,9.56,8.74,4.48,3.7,3.26,1.15,4.89
214,5.81,1.63,6.7,8.79,7.16,1.85,5.21,2.85
215,4.33,10.21,6.59,2.67,6.01,6.15,2.33,1.71
216,1.19,9.21,2.04,1.66,4.28,8.8,11.86,0.96
217,6.66,1.26,5.74,5.79,9.1,2.72,8.5,0.23
218,4.85,1.19,6.15,6.67,3.04,7.67,2.53,7.9
219,8.94,4.66,1.4,4.92,2.17,0.25,2.66,15.0
220,2.7,1.14,1.86,11.83,6.96,9.66,2.85,3.0
221,7.68,6.01,7.01,4.47,4.73,4.93,1.22,3.95
222,5.98,1.46,3.96,12.44,3.44,4.23,6.45,2.04
223,3.08,10.57,9.12,2.58,5.6,2.93,3.81,2.31
224,2.43,4.7,7.92,3.67,7.16,1.94,0.93,11.25
225,4.89,3.41,9.19,9.99,1.87,1.95,2.21,6.49
226,7.15,3.86,1.47,5.15,0.7,2.69,7.61,11.37
227,4.66,9.4,2.7,3.44,5.05,5.36,8.98,0.41
228,1.18,1.49,8.62,7.47,2.19,6.24,11.9,0.91
229,1.84,2.94,8.86,7.72,3.64,6.43,0.99,7.58
230,6.03,1.31,4.14,10.44,1.81,9.77,2.45,4.05
231,3.13,5.78,3.11,1.95,3.08,1.92,19.27,1.76
232,4.23,4.75,4.95,3.1,6.16,0.54,11.49,4.78
233,6.55,3.37,5.69,6.1,3.07,1.49,4.65,9.08
234,4.22,1.08,10.35,5.52,6.59,5.01,1.29,5.94
235,7.01,1.98,6.55,5.18,3.45,1.07,9.2,5.56
236,8.57,4.29,1.56,2.22,0.39,6.9,1.53,14.54
237,8.06,6.54,1.28,6.1,4.07,1.86,10.43,1.66
238,5.5,7.5,4.11,8.78,1.51,7.33,1.81,3.46
239,5.78,1.94,4.94,4.3,9.49,6.43,3.16,3.96
240,7.59,6.54,2.62,4.24,8.09,3.79,4.12,3.01
241,0.86,9.8,7.01,3.78,0.75,4.8,8.08,4.92
242,2.67,7.42,7.0,1.84,7.27,1.54,8.57,3.69
243,5.8,9.48,2.59,3.16,2.0,6.12,9.98,0.87
244,4.76,3.86,4.66,6.97,1.88,3.5,6.46,7.91
245,7.86,6.92,6.92,1.12,4.98,6.36,4.35,1.49
246,3.5,4.63,8.01,4.73,2.85,10.82,3.57,1.89
247,0.83,8.77,4.39,5.52,3.97,3.14,11.46,1.92
248,3.47,7.6,7.4,5.22,6.1,6.61,3.45,0.15
249,6.73,3.59,0.55,11.14,6.65,1.52,2.39,7.43
250,2.53,8.59,2.48,10.08,2.88,6.02,6.64,0.78
251,2.55,1.27,1.49,7.4,8.43,4.28,13.76,0.82
252,3.27,9.33,2.58,7.49,1.06,9.41,2.72,4.14
253,5.6,5.34,0.99,7.41,1.08,3.9,1.97,13.71
254,10.68,3.99,1.36,3.55,10.34,4.26,1.18,4.64
255,3.89,4.57,5.11,0.86,9.0,8.61,0.68,7.28
256,6.55,8.92,3.96,2.17,4.64,4.71,8.76,0.29
257,1.98,2.4,9.57,2.65,1.66,8.16,10.71,2.87
258,6.24,6.6,5.76,6.12,4.36,4.02,2.93,3.97
259,0.91,4.98,4.84,7.87,2.36,12.57,1.91,4.56
260,1.19,1.36,3.05,4.31,1.67,2.06,5.25,21.11
261,2.78,8.11,5.82,5.29,1.19,10.59,3.83,2.39
262,1.62,3.14,9.19,3.3,9.8,2.18,9.93,0.84
263,0.45,7.93,12.62,7.1,1.93,4.26,1.67,4.04
264,5.63,1.64,0.65,12.55,5.49,3.39,5.62,5.03
265,6.13,6.73,8.78,7.63,0.74,2.23,2.86,4.9
266,5.4,9.49,6.9,5.62,0.68,6.55,1.94,3.42
267,4.17,9.03,5.42,4.14,7.5,3.45,4.17,2.12
268,1.56,3.25,6.55,5.81,8.42,1.24,3.97,9.2
269,3.73,3.89,4.86,5.3,10.21,3.87,5.82,2.32
270,7.47,8.63,5.98,3.97,0.68,4.44,3.96,4.87
271,4.82,4.83,2.0,7.35,14.96,1.32,1.57,3.15
272,4.62,3.6,9.58,3.78,2.13,4.41,11.24,0.64
273,9.62,4.52,1.7,7.05,1.62,8.65,0.98,5.86
274,6.35,4.23,3.25,8.34,7.35,2.76,4.33,3.39
275,9.32,0.53,1.93,9.47,6.35,2.0,9.57,0.83
276,0.62,10.37,5.13,10.51,0.56,4.97,4.36,3.48
277,3.87,6.7,6.47,4.98,4.08,8.85,1.9,3.15
278,7.03,3.17,3.53,1.29,11.7,3.82,7.18,2.28
279,2.37,2.31,3.51,14.29,9.13,3.9,3.49,1.0
280,8.77,5.74,5.84,3.6,7.56,3.54,4.89,0.06
281,6.52,6.4,3.23,3.52,0.32,3.78,3.58,12.65
282,2.42,5.13,3.49,3.55,6.56,1.28,9.85,7.72
283,2.54,5.11,8.31,11.76,4.55,0.9,2.99,3.84
284,5.46,1.27,6.66,9.7,4.56,2.42,7.94,1.99
285,4.77,6.64,3.78,3.9,7.35,3.5,6.59,3.47
286,0.73,5.26,5.53,1.32,9.46,5.27,8.14,4.29
287,1.34,8.18,5.56,6.49,1.82,1.29,9.15,6.17
288,5.16,2.92,6.29,1.29,10.22,4.78,3.03,6.31
289,7.87,6.2,9.55,4.55,1.22,6.4,0.11,4.1
290,1.86,6.54,6.0,1.22,11.25,8.59,2.02,2.52
291,3.16,5.29,9.61,6.85,3.26,3.85,3.15,4.83
292,2.78,4.17,5.66,3.62,8.67,5.49,7.48,2.13
293,4.54,12.28,1.31,3.95,1.33,12.14,4.1,0.35
294,1.43,12.49,4.82,3.6,3.51,2.54,10.24,1.37
295,5.94,8.45,6.83,4.37,7.38,2.89,2.33,1.81
296,4.74,3.57,9.12,4.76,3.1,5.09,1.37,8.25
297,10.83,0.5,4.3,6.32,7.14,2.63,6.27,2.01
298,7.12,9.0,8.45,6.01,2.05,3.38,2.47,1.52
299,4.83,1.28,6.76,8.39,3.45,7.73,1.32,6.24
300,10.4,0.91,5.82,4.82,9.57,2.49,3.76,2.23
301,3.48,6.17,8.2,1.87,4.4,3.19,7.97,4.72
302,4.45,9.3,5.93,5.94,1.82,2.06,1.06,9.44
303,3.09,4.38,7.6,1.81,2.16,4.25,11.37,5.34
304,8.55,1.79,8.8,4.15,6.76,6.64,0.62,2.69
305,0.66,6.74,2.98,6.88,8.17,8.28,4.5,1.79
306,4.89,4.36,5.7,9.58,8.15,2.08,3.37,1.87
307,6.96,3.17,6.92,6.78,2.66,6.03,0.77,6.71
308,10.23,5.11,7.51,3.34,6.08,4.3,2.99,0.44
309,0.65,3.09,6.54,3.53,12.46,4.55,2.98,6.2
310,4.5,5.21,1.96,5.6,8.7,1.06,3.49,9.48
311,4.42,9.26,4.3,5.67,3.1,8.32,3.28,1.65
312,5.83,0.72,9.73,8.28,6.14,2.54,0.17,6.59
313,1.92,9.12,10.51,5.45,3.5,2.88,0.99,5.63
314,1.14,0.62,14.94,2.38,3.58,2.21,6.67,8.46
315,7.36,2.65,2.42,4.04,9.51,4.49,5.57,3.96
316,9.16,2.53,2.06,5.11,6.61,8.57,5.54,0.42
317,6.28,2.52,8.38,3.41,10.52,5.56,1.14,2.19
318,3.71,6.36,2.59,9.94,5.55,2.54,6.76,2.55
319,7.43,6.69,7.65,1.78,7.31,4.58,2.8,1.76
320,0.85,3.88,1.32,8.5,8.17,1.94,2.34,13.0
321,3.12,5.23,1.15,7.97,3.4,4.78,8.81,5.54
322,6.58,5.92,1.65,10.16,3.06,7.24,1.44,3.95
323,4.66,2.39,1.51,4.51,9.16,7.91,2.04,7.82
324,8.03,6.18,8.44,2.03,3.13,8.06,2.02,2.11
325,7.55,0.78,9.07,7.16,5.47,2.54,1.46,5.97
326,0.84,2.55,9.69,2.68,1.46,8.83,11.43,2.52
327,1.97,2.42,9.89,7.7,4.69,8.29,3.83,1.21
328,6.41,5.97,1.29,6.88,7.89,5.39,3.65,2.52
329,6.72,10.6,3.12,4.16,1.22,1.31,12.67,0.2
330,13.47,3.66,5.09,1.05,6.66,4.2,1.07,4.8
331,5.6,1.19,8.21,6.51,3.73,0.34,11.02,3.4
332,2.08,3.74,1.95,3.45,2.09,5.75,13.71,7.23
333,4.85,3.67,6.99,10.65,2.84,1.28,1.19,8.53
334,2.97,8.25,3.59,1.98,4.81,9.67,6.53,2.2
335,4.0,9.53,5.78,4.37,5.78,7.01,3.36,0.17
336,3.65,6.8,1.85,5.21,2.35,12.68,3.89,3.57
337,7.28,3.44,10.36,0.75,8.85,5.58,1.74,2.0
338,7.76,6.33,5.28,3.2,8.08,3.57,3.87,1.91
339,5.35,1.25,9.37,4.29,8.09,4.27,5.3,2.08
340,11.09,3.19,3.02,8.86,5.94,1.86,4.15,1.89
341,4.8,8.7,6.86,5.33,5.16,2.28,5.68,1.19
342,3.7,3.04,5.67,4.73,1.79,4.68,4.13,12.26
343,9.24,10.36,2.38,9.29,2.14,2.55,2.06,1.98
344,9.44,7.97,3.03,1.62,2.31,4.63,3.64,7.36
345,7.89,5.89,1.58,5.38,10.61,2.59,5.98,0.08
346,7.97,2.6,2.98,8.95,7.89,2.43,5.61,1.57
347,5.32,2.55,8.32,7.26,5.19,4.1,0.96,6.3
348,2.61,4.57,4.48,7.42,0.65,11.87,2.98,5.42
349,3.1,13.58,2.32,3.83,5.63,4.03,7.23,0.28
350,6.77,5.99,8.74,0.88,6.09,7.05,3.5,0.98
351,0.99,1.21,7.25,7.59,3.98,7.64,2.76,8.58
352,5.6,7.23,8.85,2.84,1.63,2.81,6.69,4.35
353,6.37,5.36,4.0,4.27,2.61,1.44,4.06,11.89
354,2.78,4.07,4.11,4.0,10.42,2.15,9.93,2.54
355,2.2,11.8,1.26,7.79,7.93,2.76,2.47,3.79
356,3.97,0.97,0.41,11.25,9.31,7.51,0.38,6.2
357,11.06,1.96,7.93,3.83,4.66,3.64,1.6,5.32
358,9.14,5.17,7.17,4.8,7.63,2.07,2.05,1.97
359,4.04,4.2,8.95,6.77,6.72,4.97,1.73,2.62
360,6.27,10.04,5.42,3.49,1.47,5.87,0.25,7.19
361,4.48,1.76,7.02,8.08,9.51,2.45,1.52,5.18
362,7.7,8.44,5.89,7.77,3.64,2.51,3.76,0.29
363,7.51,0.94,7.82,6.48,9.1,4.7,1.55,1.9
364,4.42,6.62,1.81,9.95,4.86,4.91,2.89,4.54
365,3.89,12.79,7.12,3.48,1.42,0.77,3.37,7.16
366,5.01,1.3,3.34,10.24,2.7,9.08,1.56,6.77
367,7.51,8.48,6.42,1.29,4.31,0.65,10.08,1.26
368,2.39,9.22,10.14,1.75,1.21,9.57,0.99,4.73
369,2.53,10.1,4.38,5.4,6.36,3.65,6.09,1.49
370,3.31,11.21,0.73,12.24,1.18,3.21,6.24,1.88
371,6.73,9.33,5.75,5.16,1.42,3.42,4.4,3.79
372,8.71,6.26,3.49,6.05,6.46,4.01,1.51,3.51
373,10.96,1.87,0.6,8.82,3.5,1.14,1.26,11.85
374,4.23,5.14,6.59,8.53,2.82,3.45,1.63,7.61
375,3.66,8.94,2.07,3.15,7.91,10.24,3.54,0.49
376,2.14,4.78,8.64,9.38,5.7,3.82,1.4,4.14
377,4.43,4.4,5.37,6.23,4.67,5.94,3.38,5.58
378,11.62,3.5,5.12,7.93,6.07,0.2,1.92,3.64
379,3.16,4.51,4.15,10.39,1.86,6.58,4.15,5.2
380,3.16,11.85,2.56,1.28,2.19,0.32,18.64,0.0
381,3.66,4.58,9.57,3.67,3.53,6.47,1.93,6.59
382,3.93,6.36,1.43,6.5,9.71,3.68,8.18,0.21
383,7.61,9.63,7.13,3.08,3.25,6.27,1.75,1.28
384,3.95,3.21,3.84,7.39,5.17,7.82,4.83,3.79
385,2.56,2.29,4.2,8.23,8.98,9.21,1.17,3.36
386,6.06,3.98,7.15,6.64,2.52,8.84,0.99,3.82
387,1.73,10.86,1.72,3.79,2.15,12.39,5.43,1.93
388,7.97,2.01,8.67,3.6,3.94,8.3,3.27,2.24
389,3.57,2.54,7.84,7.8,9.48,1.47,6.13,1.17
390,1.15,8.89,4.42,1.17,3.94,1.26,10.98,8.19
391,9.36,3.81,4.11,7.3,2.52,6.48,3.13,3.29
392,5.08,4.3,8.41,3.28,4.21,7.65,6.5,0.57
393,3.88,12.97,4.6,1.41,3.42,6.53,5.22,1.97
394,10.38,1.82,1.81,1.93,3.42,2.41,11.85,6.38
395,9.23,3.82,7.61,7.83,1.8,4.48,4.38,0.85
396,3.01,4.15,6.44,2.72,7.43,9.17,2.01,5.07
397,1.62,8.36,2.21,4.39,2.87,6.7,0.71,13.14
398,2.14,1.98,10.57,10.95,0.64,1.96,1.47,10.29
399,10.01,3.62,4.84,5.85,1.18,6.75,4.0,3.75
400,6.07,4.9,3.69,1.9,1.83,6.7,13.69,1.22
401,12.37,3.31,7.3,2.18,1.64,2.1,3.82,7.28
402,0.88,5.16,6.71,2.76,9.51,4.55,3.05,7.38
403,1.03,0.81,1.95,7.78,3.16,12.12,3.7,9.45
404,2.43,3.0,9.15,10.08,3.56,6.29,0.97,4.52
405,7.47,0.76,9.07,2.96,4.24,2.29,4.15,9.06
406,6.14,2.96,0.84,1.67,3.84,1.11,20.8,2.64
407,4.65,0.69,2.81,3.02,8.39,9.46,1.72,9.26
408,1.1,16.16,2.04,5.3,2.76,7.52,0.13,4.99
409,5.69,0.55,3.44,1.89,7.78,2.77,7.68,10.2
