Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15
131,4.83,4.29,1.91,2.62,6.58,3.53,2.68,2.06,3.33,3.57,9.52,1.38,4.84,2.23,6.63
132,4,2.03,7.69,4.95,3.75,6.54,4.04,2.96,3.88,0.59,5.25,1.61,5.81,4.27,2.63
133,4.02,5.22,3.67,2.01,3.91,1.83,2.12,8.27,5.89,3.36,3.99,7.49,2.19,2.59,3.44
134,7.69,2.52,1.52,1.14,2.57,6.96,1.24,1.73,3.61,2.25,7.69,1.08,6.61,0.67,12.72
135,0.18,6.35,4.99,7.36,4.43,6.22,4.3,6.2,2.31,4.01,3.09,4.57,0.61,3.14,2.24
136,6.97,6.06,5.21,4.95,3.49,2.91,6.42,3.36,1.34,0.32,6.5,2.33,3.32,3.46,3.36
137,2.33,4.91,6.79,1.89,6.7,6.38,0.52,5.23,2,2,2.78,1.7,0.51,15.03,1.23
138,1.56,5.64,4.87,4.44,1.19,5.08,5.61,7.25,4.57,3.93,3.85,2.7,1.93,6.08,1.3
139,5.69,1.49,4.79,4.89,2.06,1.42,4.03,6.63,2.66,2.4,3.25,4.76,7.14,7.1,1.69
140,6.22,1.75,1.94,1.09,5.69,1.01,3.74,3.65,6.4,5.95,8.2,2.48,2.1,3.37,6.41
141,7.38,1.03,1.37,5.8,4.38,6.03,6.16,3.57,5.21,3,4.03,1.87,2.55,0.9,6.72
142,1.38,3.73,0.08,8.76,5.51,7.14,1,1.86,6.6,1.37,1.44,8.58,7.81,3.47,1.27
143,4.28,0.09,5.57,5.84,3.46,8.08,2.26,0.2,6.67,0.84,8.27,0.49,8.42,1.17,4.36
144,5.25,1.6,5.95,5.89,3.87,3.88,4.38,6.4,4.38,1.61,6.52,0.73,2.39,5.03,2.12
145,7.72,3.31,7,1.46,0.8,3.22,2.2,4.88,5.31,0.25,5.15,1.2,5.31,10.17,2.02
146,0.49,4.67,2.25,4.68,3.5,6.01,4.16,6.23,3.97,2.92,2.33,4.95,0.43,9,4.41
147,6.68,1.83,5.76,1.47,0.76,3,2.25,7.99,5.71,3.46,7.79,0.49,3.25,2.4,7.16
148,5.17,1.74,2.39,0.32,0.43,8.6,1.06,8.42,1.67,9.11,1.07,5.41,7.52,4.36,2.73
149,1.35,8.37,4.79,2.2,2.55,7.39,2.46,2.38,2.71,4.92,3.77,3.93,8.03,4.99,0.16
150,7.85,4.94,1.73,2.88,2.88,6.45,0.03,0.87,2.89,6.74,8.85,4.9,5.43,1.09,2.47
151,0.65,7.38,2.15,6.25,1.04,7.79,0.93,8.04,4.63,6.93,4.48,0.16,3.17,1.37,5.03
152,2.88,1.84,1.05,0.41,2.18,0.67,6.5,6.41,6.03,3.71,2.79,0.54,11.21,13.64,0.14
153,2.47,4.69,7.78,0.67,2.09,0.78,8.35,6.8,5.72,1.58,2.6,3.33,7.59,2.05,3.5
154,0.27,1.94,1.1,2.93,3.73,1.71,4.9,9.92,4.03,3.12,7.44,5.96,6.38,4.67,1.9
155,6.47,0.57,2.93,1.53,2.13,6.31,6.54,4.26,5.06,7.06,6.47,1.75,0.28,4.58,4.06
156,0.24,6.58,5.17,6.67,5.1,4.08,5.79,1.73,3.49,6.08,1.66,5.44,4.87,1.08,2.02
157,1.07,4.68,5.68,3.76,5.67,5.94,3.3,4.38,1.24,4.55,6.82,3.63,5.86,2.5,0.92
158,2.23,6.27,0.32,2.75,1.3,2.91,1.11,5.03,3.61,0.93,6.68,10.72,1.64,6.01,8.49
159,6.11,2.99,0.02,1.71,6.06,3.06,6.22,8.08,5.99,4,0.95,0.45,7.87,0.66,5.83
160,0.3,1.26,1.18,6.01,3.6,6.27,0.02,7.11,9.2,6.52,1.55,5.03,3.74,1.18,7.03
161,1.56,4.19,2.14,4.37,1.2,1.38,2.52,8.31,1.8,9.86,2.09,6.87,3.14,9.62,0.95
162,2.21,6.45,5.82,3.56,3.91,7.15,6.16,0.79,6.21,0.25,3.73,1.51,0.84,1.89,9.52
163,5.46,2.43,4.06,3.58,3.14,3.66,1.58,0.59,5.38,2.77,7.65,5.04,5.11,3.33,6.22
164,7.52,7.22,0.96,2.02,2.54,6.49,0.4,3.07,6.25,1.25,8.84,1.1,4.85,7.15,0.34
165,7.26,4.95,4.84,4.64,3.2,3.99,3.93,6.26,3.78,1.51,1.05,5.05,4.12,4.72,0.7
166,5.74,3.36,7.65,2.84,7.11,1.96,5.22,5.98,3.59,0.13,4.76,1.29,0.47,9.04,0.86
167,6.12,3.51,0.63,4.19,4.48,4.32,4.14,1.26,1.14,7.56,4.27,7.29,3.59,6.75,0.75
168,2.18,0.56,5.27,8.24,5.55,6.43,5.54,3.14,4.07,2.7,1.32,1.29,2.29,2.45,8.97
169,1.64,0.86,5.75,4.46,3.23,3.48,1.44,5.29,7.34,5.72,7.1,3.49,0.2,4.2,5.8
170,1.04,3.18,0.79,8.89,0.03,2.54,8.28,8.41,6.17,1.86,3.66,3.15,5.38,1.73,4.89
171,5.52,0.66,2.82,1.03,6.41,0.83,9.1,0.59,4.11,4.36,8.87,7.71,4.71,0.42,2.86
172,0.53,1.83,3.08,0.24,3,1.02,4.39,7.52,0.83,5.41,11.33,8.38,3.25,0.06,9.13
173,7.04,0.74,5.1,7.57,2.71,6.45,1.59,4.25,3,0.25,8.03,0.59,7.71,4.56,0.41
174,7.5,7.2,2.27,0.84,2.24,3.66,1.14,4.08,6.28,0.95,4.45,1.19,9.45,4.95,3.8
175,4.93,5.5,2.36,3.34,5.88,3.47,4.8,2.28,1.7,1.65,4.98,7.08,6.79,3.39,1.85
176,2.32,2.32,7.85,1.03,3.99,6.58,6.93,7.19,2.09,1.94,1.7,1.12,6.2,7.5,1.24
177,3.47,6.28,1.74,0.5,1.57,6.62,5.57,4.62,8.19,2.58,3.94,0.93,7.86,3.21,2.92
178,5.66,4.3,2.69,1.24,7.98,3.8,2.74,6.47,6.86,3.38,2.83,0.58,1.4,1.88,8.19
179,6.44,7.14,2,2.57,4.72,7.02,5.76,2.04,3.39,3.7,1.11,6.1,3.83,0.25,3.93
180,2.15,2.52,4.76,3.73,4.21,0.66,6.98,8.71,2.77,4.72,6.07,0.57,4.99,4.47,2.69
181,7.31,3.66,3.83,5.88,3.9,0.98,5.47,0.43,0.23,6.51,0.99,7.08,0.73,12.73,0.27
182,7.97,5.28,4.36,5.22,0.93,0.54,4.3,5.39,3.14,1.45,0.23,4.15,10.48,6.09,0.47
183,7.72,2.52,7.12,0.13,0.1,0.8,8.08,7.84,4.61,5.58,5.17,0.62,0.9,0.4,8.41
184,5.18,2.78,1.91,3.71,1.04,4.31,6.3,6.61,7.3,3.74,4.61,4.23,5.37,1,1.91
185,6.55,3.72,2.49,0.29,6.67,5.81,1.85,2.73,5.34,4.28,4.25,3.1,3.08,1.02,8.82
186,1.66,6.29,6.19,5.99,4.29,6.36,6.22,4.05,1.17,1.74,3.52,6.03,3.79,2.61,0.09
187,5.82,1.64,5.43,0.98,5.14,4.28,7.5,3.76,6.04,0.85,6.07,4.56,2.54,2.87,2.52
188,3.65,5.3,6.95,5.51,4.88,5.71,5.58,2.3,4.04,3.38,1.68,1.86,0.57,0.25,8.34
189,2.58,6.15,0.64,5.03,4.86,1.55,1.84,5.55,5.6,6.55,0.21,2.06,6.5,3.92,6.96
190,0.43,1.26,2.99,5.33,4.58,1.49,6.68,5.55,8.92,7.09,5.74,3.93,2.39,1.62,2
191,1.64,6.23,5.27,4.16,4.95,0.67,3.12,2.42,6.24,5.91,5.99,5.13,5.5,2.71,0.06
192,6.32,5.95,4.66,2.49,4.66,1.51,4.01,1.01,3.95,0.79,4.74,1.73,8.72,8.52,0.94
193,0.55,6.2,2.52,4.51,7.27,0.15,5.81,4.62,4.28,2.03,0.24,0.22,9.73,7.33,4.54
194,7.02,0.23,3.93,2.3,5.41,0.77,3.48,5.92,1.79,7.65,7.98,0.78,3.56,0.87,8.31
195,6.16,6.03,6.93,3.83,4.09,3.23,1.92,3.11,3.2,1.45,1.31,6.62,1.79,3.82,6.51
196,5.23,4.9,0.26,1.45,1.41,0.08,8.53,7.84,5.26,7.3,0.55,6.15,5.03,5.85,0.16
197,4.91,6.42,5.63,3.34,4.8,3.48,0.54,2.49,3.65,5.18,1.85,1.77,6.96,6.05,2.93
198,6,1.41,2.41,6.06,0.23,1.53,8.41,6.27,6.41,6.59,4.12,4.74,1.56,1.77,2.49
199,3.26,5.6,4.59,1.96,3.01,2.84,5.88,7.44,2.6,0.13,1.08,9.94,3.78,0.27,7.62
200,6.84,2.17,4.61,5.27,3.24,3.85,5.6,6.07,4.14,0.53,0.93,4.71,5.63,2.16,4.25
201,0.22,2.9,6.52,8.03,4.68,5.57,2.96,3.29,4.07,2.63,0.78,1.13,8.23,5.5,3.49
202,3.73,6,3.8,1.2,5.47,5.32,2.84,2.98,6.86,4.88,0.59,0.84,5.11,2.22,8.16
203,1.56,0.43,4.55,3.7,6.63,3.71,1.91,0.63,5.14,0.05,1.48,6.13,3.42,17.07,3.59
204,3.97,4.5,2.63,7.9,4.4,2.5,0.31,4.53,4.62,7.42,6.23,5.2,2.45,0.86,2.48
205,1.65,0.3,7.85,7.66,6.96,2.51,2.24,1.94,6.38,6.72,4.05,2.57,1.99,3.96,3.22
206,4.61,2.77,0.88,1.51,5.6,2.71,4.6,6.15,3.63,6.8,5.99,3.9,5.43,0.28,5.14
207,7.91,7.2,2.88,4.67,4.36,6.26,1.51,5.09,2.31,3.92,4.73,3.18,3.64,0.95,1.39
208,0.64,1.45,5.08,6.61,4.22,3.18,7.47,2.14,4.78,6.99,2.79,3.2,5.55,0.46,5.44
209,0.49,4.38,7.51,4.62,1.17,5.8,7.49,0.29,2.02,5.54,8.09,3.69,0.15,0.02,8.74
210,4.97,5.47,3.77,2.25,1.4,3.32,2.7,7.44,6.05,5.59,1.02,2.97,4.75,0.32,7.98
211,2.66,5.01,4.23,5.4,0.12,7.89,3.77,3.21,4.49,4.11,1.53,7.03,4.09,3.36,3.1
212,3.12,5.95,4.1,5.27,2.59,0.08,4.12,7.37,2.79,2.45,2.57,4.45,7.98,4.84,2.32
213,3.75,4.52,2.56,2.34,4.98,1.27,1.23,6.18,6.75,0.04,3.85,3.78,1.47,16.16,1.12
214,5.51,5.29,6.66,4.17,1.98,1.3,6.76,5.52,3.12,2.41,4.34,4.88,5.25,1.57,1.24
215,2.7,8.13,5.47,3.04,7.04,4.49,1.74,3.8,0.43,5.93,6.01,3.21,4.53,2.96,0.52
216,2.53,7.01,6.07,3.53,7.06,3.61,3.1,2.14,4.44,0.69,2.37,3.11,6.06,0.85,7.43
217,3.3,3.84,3.8,4.27,2.92,2.82,1.02,5.37,3.09,1.68,5.32,6.08,5.55,1.47,9.47
218,0.56,5.56,8.08,2.23,0.02,1.46,8.57,3.14,1.29,3.19,2.24,8.08,5.39,9.19,1
219,7.85,4.63,4.59,1.91,6.97,5.79,4.91,5.21,1.38,3.2,1.45,0.97,4.89,4.55,1.7
220,4.8,2.73,3.25,7.19,2.35,5.14,6.98,4.7,5.98,5.2,4.18,0.01,0.79,3.2,3.5
221,2.14,3.18,5.58,1.89,7.35,4.95,0.86,7.23,1.33,6.66,3.66,1.63,6.77,1.18,5.59
222,0.03,7.15,0.84,4.66,3.6,1.72,1.26,7.66,0.8,9.14,5.75,7.72,1.53,5.63,2.51
223,3.19,0.08,4.41,8.09,7.12,6.14,1.88,1.57,2.65,4.23,3.61,5.77,1.16,1.75,8.35
224,6.87,6.42,6.09,4.78,6.19,0.55,4.29,0.03,0.96,6.54,3.86,1.67,2.28,0.59,8.88
